price,min_price,max_price,beds,min_beds,max_beds,baths,min_baths,max_baths,house_type,address,postal_code,state,city,pictures,pictures1,permalink,cats,dogs
,1191.0,2042.0,,1.0,3.0,,1.0,2.0,apartment,4200 Northern Cross Blvd,76137,TX,Haltom City,https://ar.rdcpix.com/77b64130ab9b059e8a0b857c3b8e6e4dc-f2815131083od-w480_h360_x2.webp,https://ar.rdcpix.com/77b64130ab9b059e8a0b857c3b8e6e4dc-f1314283072od-w480_h360_x2.webp,4200-Northern-Cross-Blvd_Haltom-City_TX_76137_M85171-13491,True,True
,1676.0,2663.0,,1.0,3.0,,1.0,2.0,apartment,2241 S State Highway 121,75067,TX,Lewisville,https://ar.rdcpix.com/d7a84d7cbd0a43dc83e0a8dca24d64c4c-f650436435od-w480_h360_x2.webp,https://ar.rdcpix.com/d7a84d7cbd0a43dc83e0a8dca24d64c4c-f2715333945od-w480_h360_x2.webp,2241-S-State-Highway-121_Lewisville_TX_75067_M84058-33228,True,True
,1725.0,2985.0,,1.0,2.0,,1.0,2.0,apartment,5050 Capitol Ave,75206,TX,Dallas,https://ar.rdcpix.com/205f995c587234c74bae07dc2595daf2c-f3045147904od-w480_h360_x2.webp,https://ar.rdcpix.com/205f995c587234c74bae07dc2595daf2c-f2915040040od-w480_h360_x2.webp,5050-Capitol-Ave_Dallas_TX_75206_M80223-89057,True,True
1225.0,,,2.0,,,1.0,,,apartment,2206 W Hickory St Apt 9,76201,TX,Denton,https://ap.rdcpix.com/b76a703f13a851740942d63fb166195fl-m2312523130od-w480_h360_x2.webp,https://ap.rdcpix.com/b76a703f13a851740942d63fb166195fl-m689342138od-w480_h360_x2.webp,2206-W-Hickory-St-Apt-9_Denton_TX_76201_M91882-35494,,
4566.0,,,2.0,,,3.0,,,apartment,4 Chelsea Blvd Apt 111,77006,TX,Houston,https://ap.rdcpix.com/6fe9035e26e0f18695c34994ee559cael-m51474037od-w480_h360_x2.webp,https://ap.rdcpix.com/6fe9035e26e0f18695c34994ee559cael-m1455242981od-w480_h360_x2.webp,4-Chelsea-Blvd-Apt-111_Houston_TX_77006_M84284-46439,,
,1170.0,2485.0,,0.0,3.0,,1.0,2.0,apartment,744 Brick Row Dr,75081,TX,Richardson,https://ar.rdcpix.com/c4f39672f06c4a08e69ddc65fd171776c-f1017381915od-w480_h360_x2.webp,https://ar.rdcpix.com/c4f39672f06c4a08e69ddc65fd171776c-f1098319445od-w480_h360_x2.webp,744-Brick-Row-Dr_Richardson_TX_75081_M72453-60406,True,True
,1512.0,2380.0,,1.0,3.0,,1.0,2.0,apartment,2600 Kinship Pkwy,75009,TX,Celina,https://ar.rdcpix.com/deb55d7615262d0f6c88bc376a5fd403c-f2116293504od-w480_h360_x2.webp,https://ar.rdcpix.com/deb55d7615262d0f6c88bc376a5fd403c-f3501126923od-w480_h360_x2.webp,2600-Kinship-Pkwy_Celina_TX_75009_M90154-00830,True,True
,1340.0,2230.0,,1.0,3.0,,1.0,3.0,apartment,351 Sugarloaf Trl,75069,TX,Fairview,https://ar.rdcpix.com/9ae273bd8c57f174932cccb101a84fafc-f3275197521od-w480_h360_x2.webp,https://ar.rdcpix.com/9ae273bd8c57f174932cccb101a84fafc-f3999383166od-w480_h360_x2.webp,351-Sugarloaf-Trl_Fairview_TX_75069_M97695-35574,True,True
,1235.0,1865.0,,1.0,2.0,,1.0,2.0,apartment,2523 Ohio Dr,75093,TX,Plano,https://ar.rdcpix.com/b0bb59c6b40016cd0cb506e86ce8a6f3c-f7599726od-w480_h360_x2.webp,https://ar.rdcpix.com/b0bb59c6b40016cd0cb506e86ce8a6f3c-f3495840554od-w480_h360_x2.webp,2523-Ohio-Dr_Plano_TX_75093_M88492-43007,True,True
,2350.0,2395.0,,3.0,3.0,,2.0,2.5,apartment,1420 Walden Pond Dr,78660,TX,Pflugerville,https://ar.rdcpix.com/3fb0d3dc61d659f98fa15df2bf8566a2c-f4096876034od-w480_h360_x2.webp,https://ar.rdcpix.com/3fb0d3dc61d659f98fa15df2bf8566a2c-f4211152502od-w480_h360_x2.webp,1420-Walden-Pond-Dr_Pflugerville_TX_78660_M90049-03477,True,True
,1445.0,2015.0,,1.0,2.0,,1.0,2.0,apartment,1845 Chelsea Blvd,75013,TX,Allen,https://ar.rdcpix.com/ee9019fdad5a80c3bc3e87e419649fb4c-f3669186555od-w480_h360_x2.webp,https://ar.rdcpix.com/ee9019fdad5a80c3bc3e87e419649fb4c-f907955562od-w480_h360_x2.webp,1845-Chelsea-Blvd_Allen_TX_75013_M94582-54132,True,True
,1360.0,2900.0,,1.0,3.0,,1.0,3.5,apartment,800 FM 518 Rd,77565,TX,Kemah,https://ar.rdcpix.com/e32cb8df9f82421e419aa2c1234cc637c-f1516090247od-w480_h360_x2.webp,https://ar.rdcpix.com/e32cb8df9f82421e419aa2c1234cc637c-f1471872949od-w480_h360_x2.webp,800-FM-518-Rd_Kemah_TX_77565_M97022-84297,True,True
,1470.0,1900.0,,1.0,3.0,,1.0,2.0,apartment,501 Turner Rd,76051,TX,Grapevine,https://ar.rdcpix.com/1dcdb274c013beba353810a7a11e4c8dc-f59529383od-w480_h360_x2.webp,https://ar.rdcpix.com/1dcdb274c013beba353810a7a11e4c8dc-f393118216od-w480_h360_x2.webp,501-Turner-Rd_Grapevine_TX_76051_M71235-09152,True,True
,1455.0,2239.0,,1.0,2.0,,1.0,2.0,apartment,2701 N Grapevine Mills Blvd,76051,TX,Grapevine,https://ar.rdcpix.com/dde187669500f3b0de0d0c6ed01cc56bc-f3586097460od-w480_h360_x2.webp,https://ar.rdcpix.com/dde187669500f3b0de0d0c6ed01cc56bc-f2896790257od-w480_h360_x2.webp,2701-N-Grapevine-Mills-Blvd_Grapevine_TX_76051_M90218-08777,True,True
,1266.0,1684.0,,2.0,4.0,,2.0,3.0,apartment,500 W Pasadena Blvd,77536,TX,Deer Park,https://ar.rdcpix.com/e7ebe1e9ce1b61d6e280e5f3fb2db277c-f232897557od-w480_h360_x2.webp,https://ar.rdcpix.com/e7ebe1e9ce1b61d6e280e5f3fb2db277c-f584296256od-w480_h360_x2.webp,500-W-Pasadena-Blvd_Deer-Park_TX_77536_M74625-45799,True,True
,1471.0,2065.0,,1.0,2.0,,1.0,2.0,apartment,645 N Town East Blvd,75150,TX,Mesquite,https://ar.rdcpix.com/1b15c6e8853ab9a5d740a4e911c57889c-f4175682934od-w480_h360_x2.webp,https://ar.rdcpix.com/1b15c6e8853ab9a5d740a4e911c57889c-f2153326920od-w480_h360_x2.webp,645-N-Town-East-Blvd_Mesquite_TX_75150_M76047-66639,True,True
,945.0,1480.0,,0.0,2.0,,1.0,2.0,apartment,3601 S Fielder Rd,76015,TX,Arlington,https://ar.rdcpix.com/7279976aa75ea45640fea1b6a914b574c-f1426177250od-w480_h360_x2.webp,https://ar.rdcpix.com/7279976aa75ea45640fea1b6a914b574c-f3960417714od-w480_h360_x2.webp,3601-S-Fielder-Rd_Arlington_TX_76015_M92222-86791,True,True
,1007.0,1910.0,,0.0,3.0,,0.0,2.0,apartment,2346 N Macarthur Blvd,75062,TX,Irving,https://ar.rdcpix.com/876c7f62bc2ec079633819fa1e56dd98c-f363134550od-w480_h360_x2.webp,https://ar.rdcpix.com/876c7f62bc2ec079633819fa1e56dd98c-f1464768844od-w480_h360_x2.webp,2346-N-Macarthur-Blvd_Irving_TX_75062_M70124-85196,True,True
,1440.0,1992.0,,1.0,3.0,,1.0,3.0,apartment,5426 Meadowcreek Dr,75248,TX,Dallas,https://ar.rdcpix.com/7edb19023c3930e03ef03c67d424557bc-f849696225od-w480_h360_x2.webp,https://ar.rdcpix.com/7edb19023c3930e03ef03c67d424557bc-f879041808od-w480_h360_x2.webp,5426-Meadowcreek-Dr_Dallas_TX_75248_M88817-01643,True,True
,940.0,1315.0,,1.0,2.0,,1.0,2.0,apartment,2505 Thomason Cir,76006,TX,Arlington,https://ar.rdcpix.com/b1be8d075ea6e1dcbd68653246e2a6cdc-f2321365262od-w480_h360_x2.webp,https://ar.rdcpix.com/b1be8d075ea6e1dcbd68653246e2a6cdc-f711076414od-w480_h360_x2.webp,2505-Thomason-Cir_Arlington_TX_76006_M86928-89634,True,True
,1323.0,1500.0,,1.0,3.0,,1.0,2.0,apartment,1420 Marina Bay Dr,77565,TX,Kemah,https://ar.rdcpix.com/1fc6be5856753358552245d71538882ac-f4069619230od-w480_h360_x2.webp,https://ar.rdcpix.com/1fc6be5856753358552245d71538882ac-f1739985418od-w480_h360_x2.webp,1420-Marina-Bay-Dr_Kemah_TX_77565_M70558-89687,True,True
,1510.0,1925.0,,1.0,2.0,,1.0,2.5,apartment,2210 Marsh Ln,75006,TX,Carrollton,https://ar.rdcpix.com/7613bb9acb38712ff276890348fc55a0c-f1424280130od-w480_h360_x2.webp,https://ar.rdcpix.com/7613bb9acb38712ff276890348fc55a0c-f1861601082od-w480_h360_x2.webp,2210-Marsh-Ln_Carrollton_TX_75006_M89066-32559,True,True
,995.0,1755.0,,1.0,2.0,,1.0,2.5,apartment,1811 E Frankford Rd,75007,TX,Carrollton,https://ar.rdcpix.com/f30842d887383c14d747ddeea3877bbdc-f2760604451od-w480_h360_x2.webp,https://ar.rdcpix.com/f30842d887383c14d747ddeea3877bbdc-f1236998766od-w480_h360_x2.webp,1811-E-Frankford-Rd_Carrollton_TX_75007_M89727-42341,True,True
,1185.0,2295.0,,0.0,3.0,,1.0,2.5,apartment,1961 Arapaho Rd,75044,TX,Garland,https://ar.rdcpix.com/deb9fdb37fc629a678546d9a2dfe2d22c-f1779826504od-w480_h360_x2.webp,https://ar.rdcpix.com/deb9fdb37fc629a678546d9a2dfe2d22c-f632699525od-w480_h360_x2.webp,1961-Arapaho-Rd_Garland_TX_75044_M97250-87493,True,True
,1045.0,1645.0,,1.0,2.0,,1.0,2.0,apartment,5118 Broadway Blvd,75043,TX,Garland,https://ar.rdcpix.com/fd66993ff5868c83c93f154c7c2d90f3c-f2857890226od-w480_h360_x2.webp,https://ar.rdcpix.com/fd66993ff5868c83c93f154c7c2d90f3c-f4262788980od-w480_h360_x2.webp,5118-Broadway-Blvd_Garland_TX_75043_M77719-43583,True,True
,1500.0,2625.0,,1.0,3.0,,1.0,2.0,apartment,401 Boyd Dr,76051,TX,Grapevine,https://ar.rdcpix.com/bb03ef17cd361bd7bf499ab2aceb5040c-f1678213534od-w480_h360_x2.webp,https://ar.rdcpix.com/bb03ef17cd361bd7bf499ab2aceb5040c-f3725476255od-w480_h360_x2.webp,401-Boyd-Dr_Grapevine_TX_76051_M72357-22926,True,True
,1120.0,2710.0,,0.0,3.0,,1.0,2.0,apartment,305 River Fern Ave,75040,TX,Garland,https://ar.rdcpix.com/c1d23159643871725cdaafed4ac8b73cc-f712397753od-w480_h360_x2.webp,https://ar.rdcpix.com/c1d23159643871725cdaafed4ac8b73cc-f311803791od-w480_h360_x2.webp,305-River-Fern-Ave_Garland_TX_75040_M78202-67328,True,True
,800.0,1135.0,,0.0,2.0,,1.0,2.0,apartment,3601 Andrews Hwy,79703,TX,Midland,https://ar.rdcpix.com/fc4351af2934c4acb5c816a39ab4f89cc-f2077856436od-w480_h360_x2.webp,https://ar.rdcpix.com/fc4351af2934c4acb5c816a39ab4f89cc-f1400591368od-w480_h360_x2.webp,3601-Andrews-Hwy_Midland_TX_79703_M90110-01392,True,True
,1190.0,2220.0,,1.0,3.0,,1.0,2.0,apartment,5075 E 52nd St,79762,TX,Odessa,https://ar.rdcpix.com/3e65aa1ec8f6916658633379def1d5fbc-f1448013753od-w480_h360_x2.webp,https://ar.rdcpix.com/3e65aa1ec8f6916658633379def1d5fbc-f4272054142od-w480_h360_x2.webp,5075-E-52nd-St_Odessa_TX_79762_M77513-46001,True,True
,1370.0,2695.0,,1.0,4.0,,1.0,3.0,apartment,605 Winterfield Dr,78634,TX,Hutto,https://ar.rdcpix.com/3af63ada88ae8aaffeca71da15bde329c-f900617420od-w480_h360_x2.webp,https://ar.rdcpix.com/3af63ada88ae8aaffeca71da15bde329c-f374344916od-w480_h360_x2.webp,605-Winterfield-Dr_Hutto_TX_78634_M78854-02969,True,True
,1320.0,2131.0,,0.0,2.0,,1.0,2.0,apartment,18102 Talavera Rdg,78257,TX,San Antonio,https://ar.rdcpix.com/0096b646cdde6e70028711e5ba341e62c-f22601633od-w480_h360_x2.webp,https://ar.rdcpix.com/0096b646cdde6e70028711e5ba341e62c-f2754082893od-w480_h360_x2.webp,18102-Talavera-Rdg_San-Antonio_TX_78257_M76949-01549,True,True
