id,price,min_price,max_price,cats,dogs,pet_policy_text,beds,min_beds,max_beds,baths,min_baths,max_baths,garage,house_type,sqft,year_built,address,postal_code,state,city,pictures,pictures1,lat,lon,county
9911922198,,2925.0,5725.0,True,True,,,1,3,,1.0,2.0,,apartment,,2020,1800 N Field St,75202,TX,Dallas,https://ar.rdcpix.com/c6f5e20f6e3a8b592054beb3f49f701bc-f3487754902s.jpg,https://ar.rdcpix.com/c6f5e20f6e3a8b592054beb3f49f701bc-f3744600035s.jpg,32.78524,-96.803525,Dallas
8041846282,,1333.0,2534.0,True,True,,,1,3,,1.0,2.0,,apartment,,2014,223 Brackenridge Ave,78209,TX,San Antonio,https://ar.rdcpix.com/263c7f4877769063a7ba9d0545181c25c-f1446133594s.jpg,https://ar.rdcpix.com/263c7f4877769063a7ba9d0545181c25c-f3496218844s.jpg,29.452374,-98.468832,Bexar
8052568846,,1525.0,2195.0,True,True,,,0,2,,0.0,2.0,,apartment,,2015,2424 Capitol St,77003,TX,Houston,https://ar.rdcpix.com/dadaf8ddc66c803b06edc56a92ef2dd2c-f3982018651s.jpg,https://ar.rdcpix.com/dadaf8ddc66c803b06edc56a92ef2dd2c-f3421497935s.jpg,29.7521,-95.35046,Harris
8057582995,,1395.0,1980.0,True,True,,,1,3,,1.0,2.0,,apartment,,2004,15000 W Airport Blvd,77498,TX,Sugar Land,https://ar.rdcpix.com/9090e4546ace4fc4efc3c99224135f20c-f320894049s.jpg,https://ar.rdcpix.com/9090e4546ace4fc4efc3c99224135f20c-f2315815845s.jpg,29.650428,-95.648434,Fort Bend
8005496182,,,,True,True,No Breed or Weight Restrictions,,1,3,,1.0,2.0,,apartment,,1982,1811 North St,75965,TX,Nacogdoches,https://ar.rdcpix.com/04c25d6e24b414ff4efc5fcea6f6283fc-f2580331515s.jpg,https://ar.rdcpix.com/04c25d6e24b414ff4efc5fcea6f6283fc-f1562619360s.jpg,31.61965,-94.65285,Nacogdoches
9206171590,,988.0,1508.0,True,True,,,1,3,,1.0,2.5,,apartment,,1981,2301 S Millbend Dr,77380,TX,The Woodlands,https://ar.rdcpix.com/22817b2cd565634f41a8b85250f68795c-f3309647807s.jpg,https://ar.rdcpix.com/22817b2cd565634f41a8b85250f68795c-f3372528522s.jpg,30.139417,-95.4688,Montgomery
8007344319,,955.0,1525.0,True,True,,,1,2,,1.0,2.0,,apartment,,1983,1702 N Jupiter Rd,75042,TX,Garland,https://ar.rdcpix.com/6025bad9f7e1f5e921df6a63f6207611c-f3193274192s.jpg,https://ar.rdcpix.com/6025bad9f7e1f5e921df6a63f6207611c-f1822734265s.jpg,32.928211,-96.681386,Dallas
8412988289,,1524.0,2849.0,True,True,,,1,3,,1.0,2.0,,apartment,,2008,6000 Eldorado Pkwy,75033,TX,Frisco,https://ar.rdcpix.com/f952fec706fda57e67bf52c02ac68b69c-f4141984404s.jpg,https://ar.rdcpix.com/f952fec706fda57e67bf52c02ac68b69c-f2233587279s.jpg,33.176788,-96.833742,Collin
8427912793,,2505.0,7410.0,True,True,,,1,2,,1.0,2.0,,apartment,,1964,1401 Elm St,75202,TX,Dallas,https://ar.rdcpix.com/8414aaf201a6ae9c69c249cdd8441e4ec-f376807914s.jpg,https://ar.rdcpix.com/8414aaf201a6ae9c69c249cdd8441e4ec-f2717398890s.jpg,32.781541,-96.800572,Dallas
8397150264,,839.0,1290.0,True,True,,,1,3,,1.0,2.0,,apartment,,2005,3150 Finfeather Rd,77801,TX,Bryan,https://ar.rdcpix.com/f4f329caec34e5c7d7d8c4cfe56033d1c-f1415920415s.jpg,https://ar.rdcpix.com/f4f329caec34e5c7d7d8c4cfe56033d1c-f2887163437s.jpg,30.636462,-96.36957,Brazos
8276790839,,1384.0,2551.0,True,True,,,1,3,,1.0,2.0,,apartment,,1998,2801 Denton Tap Rd,75067,TX,Lewisville,https://ar.rdcpix.com/674bcb7371d350bec54b63691fafc3a0c-f755841387s.jpg,https://ar.rdcpix.com/674bcb7371d350bec54b63691fafc3a0c-f2528381923s.jpg,32.992205,-96.99031,Denton
8362798707,,1254.0,2693.0,True,True,,,1,4,,1.0,4.0,,apartment,,2017,26493 E University Dr,76227,TX,Aubrey,https://ar.rdcpix.com/6ce02d564699118ab5b84b42f300255ec-f1287605571s.jpg,https://ar.rdcpix.com/6ce02d564699118ab5b84b42f300255ec-f894181867s.jpg,33.224961,-96.974141,Denton
8338772691,,1345.0,2095.0,True,True,Pet Fees and Deposits Vary by Property. Please contact the appropriate leasing office with any questions. Assistance animals are always welcome without deposit or fee.,,0,2,,1.0,2.0,,apartment,,2016,3131 West Loop S,77027,TX,Houston,https://ar.rdcpix.com/88cc3e052decbf951ba31d6f30463c79c-f996422216s.jpg,https://ar.rdcpix.com/88cc3e052decbf951ba31d6f30463c79c-f607397149s.jpg,29.73397,-95.45858,Harris
9316139555,,1165.0,2070.0,True,True,,,0,3,,1.0,2.5,,apartment,,2022,4500 Pue Rd,78245,TX,San Antonio,https://ar.rdcpix.com/20bf3dbb86ed55a9e8514671518b9140c-f2617836261s.jpg,https://ar.rdcpix.com/20bf3dbb86ed55a9e8514671518b9140c-f632465525s.jpg,,,Bexar
7612598752,,1160.0,1750.0,True,True,,,1,3,,1.0,2.0,,apartment,,1985,4545 Louetta Rd,77388,TX,Spring,https://ar.rdcpix.com/f011d7c9f31ccf248807a1523a981049c-f3308151635s.jpg,https://ar.rdcpix.com/f011d7c9f31ccf248807a1523a981049c-f3106948135s.jpg,30.04291,-95.4832,Harris
7646389821,,1215.0,1960.0,True,True,,,1,3,,1.0,2.0,,apartment,,1993,9701 Meyer Forest Dr,77096,TX,Houston,https://ar.rdcpix.com/90f54cc43931f6d53956f5ba73b4cf8fc-f679518115s.jpg,https://ar.rdcpix.com/90f54cc43931f6d53956f5ba73b4cf8fc-f592902497s.jpg,29.67562,-95.45479,Harris
7560363579,,1651.0,2661.0,True,True,"Certain aggressive breeds, including mixed breeds, are restricted at all Cortland communities. We do not allow the following aggressive breeds/mixes at our communities, including, but not limited to: Rottweiler, Chow, Presa Canario, Doberman, Akit...",,1,2,,1.0,2.0,,apartment,,2007,6419 Tranquilo,75039,TX,Irving,https://ar.rdcpix.com/a6c9c4cd0eabb9bb0809d0867f08c557c-f1081910470s.jpg,https://ar.rdcpix.com/a6c9c4cd0eabb9bb0809d0867f08c557c-f1973094848s.jpg,32.89612,-96.93592,Dallas
7562711334,,1245.0,2590.0,True,True,,,1,2,,1.0,2.0,,apartment,,2009,929 Norwood St,76107,TX,Fort Worth,https://ar.rdcpix.com/8cfe8dc350216ef7664c5a7e08a930b3c-f2076493059s.jpg,https://ar.rdcpix.com/8cfe8dc350216ef7664c5a7e08a930b3c-f3898588050s.jpg,32.75038,-97.35913,Tarrant
7590431661,,1178.0,1743.0,True,True,"We welcome 2 pets per apartment home. There is a $300 pet fee (non-refundable) per pet and monthly pet rent is $25 per month, per pet. Breed restrictions apply. Give us a call for pet policy details.",,1,2,,1.0,2.0,,apartment,,2013,14838 Vance Jackson Rd,78249,TX,San Antonio,https://ar.rdcpix.com/3cb792cc992ce6e274c21bdc6dd65088c-f1318872511s.jpg,https://ar.rdcpix.com/3cb792cc992ce6e274c21bdc6dd65088c-f1174739305s.jpg,29.583559,-98.586144,Bexar
7550099366,,1315.0,1660.0,True,True,,,1,2,,1.0,2.0,,apartment,,2003,14501 Compass St,78418,TX,Corpus Christi,https://ar.rdcpix.com/8986dbdad91472f8cd497152c4dc856bc-f2951119218s.jpg,https://ar.rdcpix.com/8986dbdad91472f8cd497152c4dc856bc-f1670320647s.jpg,27.6192,-97.223625,Nueces
9862852775,,1410.0,2490.0,True,True,,,1,2,,1.0,2.0,,apartment,,2020,12635 Shadow Creek Pkwy,77584,TX,Pearland,https://ar.rdcpix.com/54c7c177d89be987ae1790ad8b7c0884c-f736114915s.jpg,https://ar.rdcpix.com/54c7c177d89be987ae1790ad8b7c0884c-f3681154886s.jpg,,,Brazoria
7889278627,,1268.0,2412.0,True,True,Cats and Dogs,,0,3,,1.0,2.0,,apartment,,2011,24333 Cinco Terrace Dr,77494,TX,Katy,https://ar.rdcpix.com/9036fdc7446e13b8dfa38178efd2ca78c-f1579543120s.jpg,https://ar.rdcpix.com/9036fdc7446e13b8dfa38178efd2ca78c-f637228987s.jpg,29.699479,-95.807116,Fort Bend
7891837901,,2550.0,2550.0,True,True,,,3,3,,2.5,3.0,,apartment,,2019,5545 Buckley Dr,79912,TX,El Paso,https://ar.rdcpix.com/0dbfd8dd025f78caf20cafbce2c6b859c-f3414256912s.jpg,https://ar.rdcpix.com/0dbfd8dd025f78caf20cafbce2c6b859c-f229813282s.jpg,31.826322,-106.507934,El Paso
